"Name","Category","Type","Price","Stock","Image","Description","Source Image"
"Pom Pom Flower Sticks","Flowers","flower sticks","499","10","https://res.cloudinary.com/dstjglxh3/image/upload/v1781284218/nika-arts/products/flowers/flower-37-pom-pom-flower-sticks.jpg","Handmade crochet pom pom flower sticks.","WhatsApp Image 2026-06-12 at 22.26.12 (1).jpeg"
"Red Rose Pot","Flowers","pot","499","10","https://res.cloudinary.com/dstjglxh3/image/upload/v1781284205/nika-arts/products/flowers/flower-22-mini-red-rose-pot.jpg","Handmade crochet red rose pot.","WhatsApp Image 2026-06-12 at 22.26.07 (2).jpeg"
"Sunflower Pot","Flowers","pot","499","10","https://res.cloudinary.com/dstjglxh3/image/upload/v1781284219/nika-arts/products/flowers/flower-38-mini-sunflower-pot.jpg","Handmade crochet sunflower pot.","WhatsApp Image 2026-06-12 at 22.26.12 (2).jpeg"
"Sunflower Heart Pot","Flowers","pot","499","10","https://res.cloudinary.com/dstjglxh3/image/upload/v1781284212/nika-arts/products/flowers/flower-29-sunflower-heart-pot.jpg","Handmade crochet sunflower pot with heart detail.","WhatsApp Image 2026-06-12 at 22.26.09 (2).jpeg"
"Yellow Lily Pot","Flowers","pot","499","10","https://res.cloudinary.com/dstjglxh3/image/upload/v1781284207/nika-arts/products/flowers/flower-23-yellow-lily-pot.jpg","Handmade crochet yellow lily pot.","WhatsApp Image 2026-06-12 at 22.26.07 (3).jpeg"
"Mini Flower Pots","Flowers","pot","499","10","https://res.cloudinary.com/dstjglxh3/image/upload/v1781284208/nika-arts/products/flowers/flower-25-mini-flower-pots.jpg","Handmade crochet mini flower pots.","WhatsApp Image 2026-06-12 at 22.26.08 (1).jpeg"
"Lily Pot Set","Flowers","pot","499","10","https://res.cloudinary.com/dstjglxh3/image/upload/v1781284210/nika-arts/products/flowers/flower-27-lily-pot-set.jpg","Handmade crochet lily pot set.","WhatsApp Image 2026-06-12 at 22.26.08.jpeg"
"White Calla Pot","Flowers","pot","499","10","https://res.cloudinary.com/dstjglxh3/image/upload/v1781284211/nika-arts/products/flowers/flower-28-white-calla-pot.jpg","Handmade crochet white calla lily pot.","WhatsApp Image 2026-06-12 at 22.26.09 (1).jpeg"
"Heart Support Plant","Flowers","pot","499","10","https://res.cloudinary.com/dstjglxh3/image/upload/v1781284215/nika-arts/products/flowers/flower-34-heart-support-plant.jpg","Handmade crochet emotional support plant.","WhatsApp Image 2026-06-12 at 22.26.10.jpeg"
"Boxed Pink Rose","Flowers","boxed bouquet","499","10","https://res.cloudinary.com/dstjglxh3/image/upload/v1781284213/nika-arts/products/flowers/flower-31-boxed-pink-rose.jpg","Handmade crochet boxed pink rose bouquet.","WhatsApp Image 2026-06-12 at 22.26.10 (1).jpeg"
"Boxed Purple Rose","Flowers","boxed bouquet","499","10","https://res.cloudinary.com/dstjglxh3/image/upload/v1781284214/nika-arts/products/flowers/flower-32-boxed-purple-rose.jpg","Handmade crochet boxed purple rose bouquet.","WhatsApp Image 2026-06-12 at 22.26.10 (2).jpeg"
"Boxed Bunny Bouquet","Flowers","boxed bouquet","499","10","https://res.cloudinary.com/dstjglxh3/image/upload/v1781284215/nika-arts/products/flowers/flower-33-boxed-bunny-bouquet.jpg","Handmade crochet boxed bunny bouquet.","WhatsApp Image 2026-06-12 at 22.26.10 (3).jpeg"
"Boxed Blue Flower","Flowers","boxed bouquet","499","10","https://res.cloudinary.com/dstjglxh3/image/upload/v1781284216/nika-arts/products/flowers/flower-35-boxed-blue-flower.jpg","Handmade crochet boxed blue flower bouquet.","WhatsApp Image 2026-06-12 at 22.26.11 (1).jpeg"
"Boxed Lavender Daisy","Flowers","boxed bouquet","499","10","https://res.cloudinary.com/dstjglxh3/image/upload/v1781284217/nika-arts/products/flowers/flower-36-boxed-lavender-daisy.jpg","Handmade crochet boxed lavender daisy bouquet.","WhatsApp Image 2026-06-12 at 22.26.11.jpeg"
"Boxed Yellow Rose","Flowers","boxed bouquet","499","10","https://res.cloudinary.com/dstjglxh3/image/upload/v1781284220/nika-arts/products/flowers/flower-39-boxed-yellow-rose.jpg","Handmade crochet boxed yellow rose bouquet.","WhatsApp Image 2026-06-12 at 22.26.12.jpeg"
